Item,$AQ_​INDEX,$ROCK_​COMP,$POVOMULT,$PERM_​2,$PERM_​1,$KRWMAX,PWS1,PWS2,PWS3,PWS4,PWS5,OIL_CUM,WATER_CUM,WC1,WC2,PWFEND
BU_MACH5_125,0.540670064,3.49E-06,0.271433424,0.055867626,0.138000534,0.665038759,1190.406982,145.9479828,330.6179199,751.196228,1.11E+03,1922231.25,4930171,0.489927888,0.902110994,912.6956177
BU_MACH5_126,0.5194785,7.80E-06,0.367258003,0.055174139,0.15126191,0.477726295,1303.320679,375.377594,509.9927063,1124.269409,1.63E+03,1953384,4033449,0.142292261,0.893104613,1476.256836
BU_MACH5_127,0.361003937,9.00E-06,0.915149449,0.055492834,0.167977847,0.521051515,1400.590942,632.3423462,661.8409424,1260.947876,1.64E+03,1953384,3.76E+06,1.06E-05,0.892470598,1536.050171
BU_MACH5_128,0.484152104,6.23E-06,0.226686666,0.042926994,0.194622922,0.556628239,1152.52002,173.4590454,302.6941528,1006.377319,7.69E+02,1882795.875,5195707,0.352981955,0.908675969,365.4852905
BU_MACH5_129,0.660804346,4.13E-06,0.963027131,0.059488949,0.160080111,0.635344478,1458.391846,536.0983276,768.4640503,1233.115967,1.33E+03,1953384,4586546.5,0.325523108,0.899420798,1161.413086
BU_MACH5_130,0.598743126,2.92E-06,0.169887265,0.040254195,0.158068532,0.47279664,1280.764038,208.0640411,500.228302,1340.410278,1.18E+03,1899712.125,5012226.5,0.490211725,0.903505743,680.1138306
BU_MACH5_131,0.308684469,1.47E-06,0.979950438,0.064522004,0.162961888,0.498566393,951.2231445,92.28917694,106.4527588,598.5923462,1.77E+03,1947187.5,3.78E+06,5.21E-06,0.891850173,1792.541626
BU_MACH5_132,0.483257546,5.60E-06,0.339469161,0.056127378,0.133240184,0.608840678,1195.669678,164.2674408,312.3105774,797.8162842,1.37E+03,1947318.25,4397628,0.323748767,0.897093654,1245.851196
BU_MACH5_133,0.549337687,9.26E-06,0.161367382,0.05623643,0.197976885,0.583132572,1235.318481,219.5298004,414.432312,986.4649048,8.64E+02,1952069.125,5142194.5,0.346443772,0.906796336,635.0060425
BU_MACH5_134,0.446728477,2.02E-06,0.799070406,0.047728953,0.176861888,0.622567217,1184.622681,165.983139,274.6325073,913.2438354,7.83E+02,1921759.25,5065435,0.342415065,0.907094419,490.1428223
BU_MACH5_135,0.358573809,7.30E-06,0.713983642,0.044556819,0.147742128,0.500616779,1292.120605,381.9265442,434.510376,1155.705688,1.50E+03,1953384,3.98E+06,1.03E-05,0.895216763,1285.349731
BU_MACH5_136,0.608248909,4.49E-06,0.802028016,0.058813388,0.18368417,0.693803217,1409.221802,434.5827026,666.1583252,1151.570313,9.67E+02,1953384,5102926,0.342611879,0.906352639,749.506897
BU_MACH5_137,0.557799005,1.87E-06,0.177488113,0.049503674,0.149394723,0.669302957,1266.775024,140.9080963,364.692627,914.371521,9.54E+02,1862263.125,5365865,0.557860911,0.907904506,513.3375854
BU_MACH5_138,0.652795434,7.57E-06,0.421988617,0.053761336,0.140448024,0.530184332,1401.806885,500.6022339,716.1530151,1162.517456,1.54E+03,1953384,4238390.5,0.289968073,0.894816995,1342.267944
